path	module	permission	guards	schema	file	line
/api/finance/ap/trend	finance	finance.ap.view	requirePermission		netlify/functions/routes/financeAccountsPayable.ts	105
/api/finance/ap/vendors/bills	finance	finance.ap.view	requirePermission	z.object({ vendorId: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	76
/api/finance/ap/vendors/create	finance	finance.ap.vendors.create	requirePermission	VendorCoreSchema	netlify/functions/routes/financeAccountsPayable.ts	135
/api/finance/ap/vendors/get	finance	finance.ap.view	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	65
/api/finance/ap/vendors/list	finance	finance.ap.view	requirePermission	z.object({ status: z.enum(VENDOR_STATUS).optional() })	netlify/functions/routes/financeAccountsPayable.ts	58
/api/finance/ap/vendors/payments	finance	finance.ap.view	requirePermission	z.object({ vendorId: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	83
/api/finance/ap/vendors/update	finance	finance.ap.vendors.update	requirePermission	VendorCoreSchema.partial().extend({ id: z.string().uuid() })	netlify/functions/routes/financeAccountsPayable.ts	142
/api/finance/attachments/complete	finance	UPLOAD_PERMS[v.data.entityType]!	requirePermission	CompleteSchema	netlify/functions/routes/financeAttachments.ts	164
/api/finance/attachments/delete	finance	MANAGE_PERMS[v.data.entityType]!	requirePermission	DeleteSchema	netlify/functions/routes/financeAttachments.ts	220
/api/finance/attachments/list	finance	VIEW_PERMS[v.data.entityType]!	requirePermission	ListSchema	netlify/functions/routes/financeAttachments.ts	189
/api/finance/attachments/signed-url	finance	VIEW_PERMS[v.data.entityType]!	requirePermission	SignedUrlSchema	netlify/functions/routes/financeAttachments.ts	208
/api/finance/attachments/upload-url	finance	UPLOAD_PERMS[v.data.entityType]!	requirePermission	UploadUrlSchema	netlify/functions/routes/financeAttachments.ts	145
/api/finance/bank-accounts/deactivate	finance	finance.bank_accounts.manage	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeBankAccounts.ts	56
/api/finance/bank-accounts/get	finance	finance.bank_accounts.view	requirePermission	z.object({ id: z.string().uuid() })	netlify/functions/routes/financeBankAccounts.ts	30
